1	5.4	3.9	1.7	0.4
2	4.6	3.4	1.4	0.3
3	5.0	3.4	1.5	0.2
4	4.4	2.9	1.4	0.2
5	4.9	3.1	1.5	0.1
6	5.4	3.7	1.5	0.2
7	4.8	3.4	1.6	0.2
8	4.8	3.0	1.4	0.1
9	4.3	3.0	1.1	0.1
10	5.8	4.0	1.2	0.2
11	5.7	4.4	1.5	0.4
12	5.4	3.9	1.3	0.4
13	5.1	3.5	1.4	0.3
14	5.7	3.8	1.7	0.3
15	5.1	3.8	1.5	0.3
16	5.4	3.4	1.7	0.2
17	5.1	3.7	1.5	0.4
18	4.6	3.6	1.0	0.2
19	5.1	3.3	1.7	0.5
20	4.8	3.4	1.9	0.2
21	5.0	3.0	1.6	0.2
22	5.0	3.4	1.6	0.4
23	5.2	3.5	1.5	0.2
24	5.2	3.4	1.4	0.2
25	4.7	3.2	1.6	0.2
26	4.8	3.1	1.6	0.2
27	5.4	3.4	1.5	0.4
28	5.2	4.1	1.5	0.1
29	5.5	4.2	1.4	0.2
30	4.9	3.1	1.5	0.2
31	5.0	3.2	1.2	0.2
32	5.5	3.5	1.3	0.2
33	4.9	3.6	1.4	0.1
34	4.4	3.0	1.3	0.2
35	5.1	3.4	1.5	0.2
36	5.0	3.5	1.3	0.3
37	4.5	2.3	1.3	0.3
38	4.4	3.2	1.3	0.2
39	5.0	3.5	1.6	0.6
40	5.1	3.8	1.9	0.4
41	4.8	3.0	1.4	0.3
42	5.1	3.8	1.6	0.2
43	4.6	3.2	1.4	0.2
44	5.3	3.7	1.5	0.2
45	5.0	3.3	1.4	0.2
46	5.7	2.8	4.5	1.3
47	6.3	3.3	4.7	1.6
48	4.9	2.4	3.3	1.0
49	6.6	2.9	4.6	1.3
50	5.2	2.7	3.9	1.4
51	5.0	2.0	3.5	1.0
52	5.9	3.0	4.2	1.5
53	6.0	2.2	4.0	1.0
54	6.1	2.9	4.7	1.4
55	5.6	2.9	3.6	1.3
56	6.7	3.1	4.4	1.4
57	5.6	3.0	4.5	1.5
58	5.8	2.7	4.1	1.0
59	6.2	2.2	4.5	1.5
60	5.6	2.5	3.9	1.1
61	5.9	3.2	4.8	1.8
62	6.1	2.8	4.0	1.3
63	6.3	2.5	4.9	1.5
64	6.1	2.8	4.7	1.2
65	6.4	2.9	4.3	1.3
66	6.6	3.0	4.4	1.4
67	6.8	2.8	4.8	1.4
68	6.7	3.0	5.0	1.7
69	6.0	2.9	4.5	1.5
70	5.7	2.6	3.5	1.0
71	5.5	2.4	3.8	1.1
72	5.5	2.4	3.7	1.0
73	5.8	2.7	3.9	1.2
74	6.0	2.7	5.1	1.6
75	5.4	3.0	4.5	1.5
76	6.0	3.4	4.5	1.6
77	6.7	3.1	4.7	1.5
78	6.3	2.3	4.4	1.3
79	5.6	3	4.1	1.3
80	5.5	2.5	4.0	1.3
81	5.5	2.6	4.4	1.2
82	6.1	3.0	4.6	1.4
83	5.8	2.6	4.0	1.2
84	5.0	2.3	3.3	1.0
85	5.6	2.7	4.2	1.3
86	5.7	3.0	4.2	1.2
87	5.7	2.9	4.2	1.3
88	6.2	2.9	4.3	1.3
89	5.1	2.5	3.0	1.1
90	5.7	2.8	4.1	1.3
91	6.3	3.3	6.0	2.5
92	5.8	2.7	5.1	1.9
93	7.1	3.0	5.9	2.1
94	6.3	2.9	5.6	1.8
95	6.5	3.0	5.8	2.2
96	7.7	3.0	6.1	2.3
97	6.3	3.4	5.6	2.4
98	6.4	3.1	5.5	1.8
99	6.0	3.0	4.8	1.8
100	6.9	3.1	5.4	2.1
101	6.7	3.1	5.6	2.4
102	6.9	3.1	5.1	2.3
103	5.8	2.7	5.1	1.9
104	6.8	3.2	5.9	2.3
105	6.7	3.3	5.7	2.5
106	7.6	3.0	6.6	2.1
107	4.9	2.5	4.5	1.7
108	7.3	2.9	6.3	1.8
109	6.7	2.5	5.8	1.8
110	7.2	3.6	6.1	2.5
111	6.5	3.2	5.1	2.0
112	6.4	2.7	5.3	1.9
113	6.8	3.0	5.5	2.1
114	5.7	2.5	5.0	2.0
115	5.8	2.8	5.1	2.4
116	6.4	3.2	5.3	2.3
117	6.5	3.0	5.5	1.8
118	7.7	3.8	6.7	2.2
119	7.7	2.6	6.9	2.3
120	6.0	2.2	5.0	1.5
121	6.9	3.2	5.7	2.3
122	5.6	2.8	4.9	2.0
123	7.7	2.8	6.7	2.0
124	6.3	2.7	4.9	1.8
125	6.7	3.3	5.7	2.1
126	7.2	3.2	6.0	1.8
127	6.2	2.8	4.8	1.8
128	6.1	3.0	4.9	1.8
129	6.4	2.8	5.6	2.1
130	7.2	3.0	5.8	1.6
131	7.4	2.8	6.1	1.9
132	7.9	3.8	6.4	2.0
133	6.4	2.8	5.6	2.2
134	6.3	2.8	5.1	1.5
135	6.1	2.6	5.6	1.4
